Project#,imaged,Morphospecies#,MorphospeciesName,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,Zoosection,Zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,Scientific Name,sex,identifiedBy,identificationRemarks,identificationQualifier,individualCount,lifeStage,preparations,establismentMeans ,basisOfRecord,institutionID,institutionCode,datasetID,catalogNumber,collectionCode,occurrenceRemarks,recordedBy,associatedMedia,associatedTaxa,associatedReferences,associatedSequences,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventTime,year,month,day,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,islandGroup,island,country,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,minimumElevationInMeters,maximumElevationInMeters,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,
SBBG-SR_000011,y,SBBG-SR_000011,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Adephaga,,,,,Caraboidea,,Carabidae,Pterostichinae,,Zabrini,Amarina,Amara,,,,,,Fritz Light | Blaine Mathison,to Carabidae | to Amara from Carabidae on BugGuide,,3,adult,pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000011,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1819465 | https://bugguide.net/node/view/1819466 | https://bugguide.net/node/view/1819467 | https://bugguide.net/node/view/1819468,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000012,y,SBBG-SR_000012,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Heteroptera,Pentatomomorpha,,,,Pentatomoidea,,Thyreocoridae,,,,,,,,,,,Fritz Light | Ken Wolgemuth,to Thyreocoridae | Thyreocoridae confirmed on BugGuide,,1,adult,pinned,,PreservedSpecimen,SBBG,,SBBG-SR,000012,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1821363 | https://bugguide.net/node/view/1821364 | https://bugguide.net/node/view/1821365 | https://bugguide.net/node/view/1821366 | https://bugguide.net/node/view/1821367 | https://bugguide.net/node/view/1821368,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000013,y,SBBG-SR_000013,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Symphypleona,,,,,,Sminthuroidea,,Bourletiellidae,,,,,,,,,,,Fritz Light | Frans Janssens,to Collembola | to Bourletiellidae from Collembola on BugGuide,,126,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000013,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1436997 | https://bugguide.net/node/view/1436995 | https://bugguide.net/node/view/1436996,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000014,y,SBBG-SR_000014,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Proctotrupomorpha,,,,Chalcidoidea,,Encyrtidae,,,,,Aenasius,,,,,,Fritz Light | Ross Hill | Bob Zuparko,to Encyrtidae | Encyrtidae confirmed on BugGuide | to Aenasius from Encyrtidae on BugGuide,,1,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000014,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1822529 | https://bugguide.net/node/view/1822533,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000015,y,SBBG-SR_000015,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Brachycera,Cyclorrhapha,,Aschiza,,,,Phoridae,,,,,,,,,,,Fritz Light | John F. Carr,to Phoridae | Phoridae confirmed on BugGuide,,1,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000015,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820499 | https://bugguide.net/node/view/1820501 | https://bugguide.net/node/view/1820502 | https://bugguide.net/node/view/1820503 | https://bugguide.net/node/view/1820504,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000016,y,SBBG-SR_000016,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Nematocera,Bibionomorpha,,,,Sciaroidea,,Sciaridae,,,,,,,,,,,Fritz Light | John F. Carr,to Sciaridae | Sciaridae confirmed on BugGuide,,1,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000016,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820505 | https://bugguide.net/node/view/1820506 | https://bugguide.net/node/view/1820507 | https://bugguide.net/node/view/1820508 | https://bugguide.net/node/view/1820509 | https://bugguide.net/node/view/1820511 | https://bugguide.net/node/view/1820512 | https://bugguide.net/node/view/1820514 | https://bugguide.net/node/view/1820515,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000017,y,SBBG-SR_000017,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Nematocera,Culicomorpha,,,,Chironomoidea,,Chironomidae,,,,,,,,,,,Fritz Light | John F. Carr,to Chironomidae | Chironomidae confirmed on BugGuide,,1,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000017,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820535 | https://bugguide.net/node/view/1820536 | https://bugguide.net/node/view/1820537 | https://bugguide.net/node/view/1820538 | https://bugguide.net/node/view/1820539,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000018,y,SBBG-SR_000018,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Nematocera,Culicomorpha,,,,Chironomoidea,,Chironomidae,Orthocladiinae,,,,,,,,,,Fritz Light | John F. Carr,to Chironomidae | to Orthocladiinae from Chironomidae on BugGuide,,6,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000018,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820645 | https://bugguide.net/node/view/1820646 | https://bugguide.net/node/view/1820647 | https://bugguide.net/node/view/1820648 | https://bugguide.net/node/view/1820652 | https://bugguide.net/node/view/1820654 | https://bugguide.net/node/view/1820655 | https://bugguide.net/node/view/1820656,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000019,y,SBBG-SR_000019,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Brachycera,Cyclorrhapha,,,,Ephydroidea,,Ephydridae,,,,,,,,,,,Fritz Light,to Ephydridae,,1,adult,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000019,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1820659 | https://bugguide.net/node/view/1820661 | https://bugguide.net/node/view/1820662,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000020,y,SBBG-SR_000020,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Thysanoptera,Terebrantia,,,,,,,Thripidae,,,,,,,,,,,Fritz Light,to Thripidae,,6,,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000020,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1822794 | https://bugguide.net/node/view/1822795 | https://bugguide.net/node/view/1822796 | https://bugguide.net/node/view/1822798,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000021,y,SBBG-SR_000021,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Thysanoptera,Terebrantia,,,,,,,Thripidae,,,,,,,,,,,Fritz Light,to Thripidae,,4,,imaged | 75% EtOH,,PreservedSpecimen,SBBG,,SBBG-SR,000021,,,Denise A. Knapp | Kathryn McEachern,https://bugguide.net/node/view/1822799 | https://bugguide.net/node/view/1822800 | https://bugguide.net/node/view/1822801,,,,1N-B_20170405,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,5,pitfall in annual grassland with 60% veg cover,,,,1N-B,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,464 m,,,,Zone10 E766370,Zone10 N3759889,33.94579,-120.11787,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
